year-month,PCA_index,PCA_index1,original_return,return,ln_return,CPI,PPI,PPI_increase,PCA_index_t-1,PCA_index1_t-1,resids,resids_t-1
2016-02,0.290154219,0.190354819,-0.021702,-0.337776525,-0.3207808,0.908721995,-2.255564134,0.304511686,,,0.32444926,
2016-03,-0.20385577,-1.344776264,0.150526,3.476338358,3.278909862,0.908721995,-2.084375851,0.544618842,0.290154219,0.190354819,-0.899340967,0.32444926
2016-04,1.41699563,1.23203792,-0.027652,-0.469543622,-0.456203294,0.908721995,-1.827593427,0.901016278,-0.20385577,-1.344776264,0.769497243,-0.899340967
2016-05,1.310416299,1.721038199,-0.006394,0.001230318,0.023880377,0.232960042,-1.656405144,0.533338446,1.41699563,1.23203792,0.995298313,0.769497243
2016-06,0.572195108,1.292281759,0.029622,0.79883095,0.814281389,0.007706057,-1.599342383,0.055081461,1.310416299,1.721038199,-0.049749233,0.995298313
2016-07,1.253660431,1.463823641,0.012966,0.429971662,0.452246422,-0.217547927,-1.342559959,0.882116249,0.572195108,1.292281759,0.614557184,-0.049749233
2016-08,1.291770586,0.890928818,0.037292,0.968688704,0.979031572,-1.343817849,-1.085777535,0.872375094,1.253660431,1.463823641,1.015196215,0.614557184
2016-09,0.486589236,0.065955165,-0.016494,-0.22244156,-0.202920556,0.007706057,-0.82899511,0.862810684,1.291770586,0.890928818,0.725769816,1.015196215
2016-10,-0.658909215,-0.846589154,0.019614,0.577196479,0.597456202,0.458214026,-0.515149925,1.083475485,0.486589236,0.065955165,-0.57761235,0.725769816
2016-11,-0.308247433,-1.297876788,0.020671,0.600604516,0.620456589,0.908721995,0.084009065,2.207505431,-0.658909215,-0.846589154,-1.101425937,-0.57761235
2016-12,1.633973734,0.886715249,-0.048887,-0.93980821,-0.94636286,0.458214026,0.711699435,2.270397484,-0.308247433,-1.297876788,1.244708899,-1.101425937
2017-01,0.736876222,0.534617611,-0.006373,0.001695379,0.024349537,1.359229964,1.111138762,1.3461333,1.633973734,0.886715249,0.953340898,1.244708899
2017-02,-0.608456897,-1.181533064,0.036516,0.951503617,0.962418722,-2.470087771,1.367921186,0.78756452,0.736876222,0.534617611,-0.60633947,0.953340898
2017-03,-0.13238887,-1.592020784,-0.007646,-0.026496136,-0.00410846,-2.244833786,1.310858425,-0.395464356,-0.608456897,-1.181533064,-0.589324387,-0.60633947
2017-04,0.887173688,0.842815984,-0.029646,-0.513702209,-0.501772355,-1.569071833,0.968481859,-1.465969877,-0.13238887,-1.592020784,0.430268896,-0.589324387
2017-05,0.887105448,0.615838314,-0.062422,-1.239550673,-1.264530305,-0.89330988,0.711699435,-1.155799405,0.887173688,0.842815984,0.777113823,0.430268896
2017-06,0.116606791,-0.163180677,0.053923,1.336994348,1.332116998,-0.89330988,0.711699435,-0.18183967,0.887105448,0.615838314,-0.018668524,0.777113823
2017-07,0.172762197,0.410892426,0.026041,0.719527089,0.736941455,-1.118563864,0.711699435,-0.18183967,0.116606791,-0.163180677,-0.505063872,-0.018668524
2017-08,1.377774477,1.801662374,0.027378,0.749135931,0.765848576,-0.217547927,0.939950479,0.691287709,0.172762197,0.410892426,0.833373984,-0.505063872
2017-09,1.081434536,0.680690255,0.020529,0.597459822,0.617368045,-0.668055896,1.111138762,0.468077657,1.377774477,1.801662374,0.694287995,0.833373984
