Constituent Code,Constituent Name(Eng.)
600006,Dongfeng Automobile Co Ltd
600008,Beijing Capital Co Ltd
600017,Rizhao Port Co Ltd
600021,Shanghai Electric Power Co Ltd
600022,SHANDONG IRON AND STEEL COMPANY LTD
600026,"COSCO SHIPPING Energy Transportation Co., Ltd."
600037,Beijing Gehua CATV Network Co Ltd
600039,Sichuan Road&Bridge Co Ltd
600053,"Kunwu Jiuding Investment Holdings Co., Ltd"
600056,"China Meheco Co.,Ltd."
600058,Minmetals Development Co Ltd
600060,Hisense Electric Co Ltd
600062,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD."
600064,NANJING GAOKE COMPANY LIMITED
600073,Shanghai Maling Aquarius Co Ltd
600079,"Humanwell Healthcare (Group) Co., Ltd."
600086,"Eastern Gold Jade Co., Ltd."
600094,Greattown Holdings Ltd
600098,Guangzhou Development Group Incorporated
600120,Zhejiang Orient Holdings Co Ltd
600122,Jiangsu Hongtu High Technology Co Ltd
600125,China Railway Tielong Container Logistics Co Ltd
600126,Hang Zhou Iron & Steel Co Ltd
600138,China CYTS Tours Holding Co Ltd
600141,Hubei Xingfa Chemicals Group Co Ltd
600143,Kingfa Sci&Tech Co Ltd
600151,Shanghai Aerospace Automobile Electromechanical Co Ltd
600155,"Polaris Bay Group Co.,Ltd."
600158,"China Sports Industry Group Co.,Ltd."
600160,Zhejiang Ju Hua Co Ltd
600161,Beijing Tiantan Biological Products Co Ltd
600166,Beiqi Foton Motor Co Ltd
600167,"Luenmei Holding Co.,Ltd"
600169,Taiyuan Heavy Industry Co Ltd
600171,Shanghai Belling Corp Ltd
600179,"Antong Holdings Co., Ltd."
600183,"Shengyi Technology Co.,Ltd."
600184,"North Electro-Optic Co.,Ltd."
600195,China Animal Husbandry Industry Co Ltd
600201,"Jinyu Bio-Technology Co.,Ltd."
600216,Zhejiang Medicine Co Ltd
600240,"BEIJING HOMYEAR CAPITAL HOLDINGS CO.,LTD"
600256,"GUANGHUI ENERGY CO., LTD."
600258,"BTG Hotels (Group) Co., Ltd."
600259,"Rising Nonferrous Metals Share Co., Ltd."
600260,"Kaile Science and Technology Co.,Ltd.Hubei"
600266,Beijing Urban Construction Investment & Development Co Ltd
600267,Zhejiang Hisun Pharmaceutical Co Ltd
600277,ELION CLEAN ENERGY COMPANY LIMITED
600280,"Nanjing Central Emporium (Group) Stocks Co.,Ltd."
600282,Nanjing Iron & Steel Co Ltd
